prefix,SourceRepository
snd,DORIS
ext,DORIS (only metadata)
doi-10-23695-,Språkbanken Text
gbif-sweden-10-15468-,GBIF Sweden
doi-10-17196-novac-,Chalmers OJUO
fega-sweden-egad5000000,FEGA Sweden
icos-sweden-,ICOS Sweden data portal
doi-10-17044-scilifelab-,SciLifeLab Data Repository
doi-10-5879-bils-,SciLifeLab Data Repository
doi-10-23698-aida-,SciLifeLab AIDA Data Hub
doi-10-48360,LiU Zenodo
doi-10-48391-,MAX IV data repository
doi-10-18161-,Lund University DataGURU
sites-,SITES data portal
doi-10-17045-sthlmuni-,Stockholm University Figshare
doi-10-17197-,Umeå University Centre for Demographic and Ageing Research
doi-10-18159-,Swedish National Seismic Network
