zenodo_id,SourceRepository
bth,"BTH Zenodo"
materialsmodeling,"Chalmers Department of Physics Zenodo"
chalmers_university,"Chalmers Zenodo"
kaucs,"Computer Science at Karlstad University Zenodo"
flow-lab,"FLOW-Lab : Fluxes in Low Oxygen Waters Zenodo"
kth,"KTH Zenodo"
linkopinguniversity,"LiU Zenodo"
firesafetylund,"Lund University, Division of Fire Safety Engineering Zenodo"
miun,"Mid Sweden University Zenodo"
heritage_laboratory,"RAÄ Heritage Laboratory"
runverket,"RAÄ Runverket"
rise,"RISE Research Institutes of Sweden Zenodos"
stockholmuniversitylibrary,"Stockholm University Library Zenodo"
swinno,"SWINNO Zenodo"
universityofboras,"University of Borås Zenodo"
