DatasetIdentifier,Publisher,SourceRepository,YearPublished
snd1048-1,Stockholm University,DORIS,2018
2024-508,Institute for Language and Folklore,DORIS (only metadata),2024
2022-60-1,Luleå University of Technology,DORIS,2024
2021-280-1,Swedish University of Agricultural Sciences,DORIS,2024
2024-528,Umeå University,DORIS,2024
2024-635,Swedish University of Agricultural Sciences,DORIS,2025
2022-4-1,RISE Research Institutes of Sweden,DORIS,2022
2022-56-1,Swedish University of Agricultural Sciences,DORIS,2022
2021-125-2,Luleå University of Technology,DORIS,2022
2021-338-1,Lund University,DORIS,2021
2021-335-1,Swedish University of Agricultural Sciences,DORIS (only metadata),2022
2021-340-1,Karolinska Institutet,DORIS,2022
2022-71-1,Swedish University of Agricultural Sciences,DORIS,2022
2021-316-1,Mid Sweden University,DORIS,2021
2021-339-1,University of Skövde,DORIS,2022
2020-145-1,Swedish Institute of Space Physics,DORIS,2020
2020-185-1,Swedish University of Agricultural Sciences,DORIS,2023
ext0071-1,University of Tromsø,DORIS (only metadata),2020
ext0079-1,Uppsala University,DORIS (only metadata),2020
ext0168-1,Karolinska Institutet,DORIS (only metadata),2015
snd0968-1,"Information not available, contact SND for more information",DORIS,2014
ext0145-1,"Information not available, contact SND for more information",DORIS (only metadata),2014
snd2396-1,Uppsala University,DORIS,2014
snd0966-1,"Faculty of Engineering, Lund University",DORIS,2015
ext0034-1,Uppsala University,DORIS (only metadata),2015
snd0794-3,Stockholm University,DORIS,2014
snd0500-60,University of Gothenburg,DORIS,2002
ext0019-1,Uppsala University,DORIS (only metadata),2011
snd0015-1,University of Gothenburg,DORIS (only metadata),2011
snd2001-1,Uppsala University,DORIS,2014
snd2002-1,Uppsala University,DORIS,2014
snd2003-1,Uppsala University,DORIS,2014
snd2004-1,Uppsala University,DORIS,2014
snd2006-1,Arkeologikonsult,DORIS,2014
snd2007-1,Uppsala University,DORIS,2014
snd2008-1,Uppsala University,DORIS,2014
snd2009-1,Arkeologikonsult,DORIS,2014
snd2011-1,Uppsala University,DORIS,2014
snd2012-1,Uppsala University,DORIS,2014
snd2013-1,Uppsala University,DORIS,2014
snd2014-1,Uppsala University,DORIS,2014
snd2015-1,Uppsala University,DORIS,2014
snd2016-1,Uppsala University,DORIS,2014
snd0895-1,Södertörns högskola,DORIS,2011
ext0041-1,University of Gothenburg,DORIS (only metadata),2012
snd2021-1,Uppsala University,DORIS,2012
snd2021-1,Uppsala University,DORIS,2014
snd2023-1,Uppsala University,DORIS,2012
snd2023-1,Uppsala University,DORIS,2014
snd2024-1,Uppsala University,DORIS,2012
snd2024-1,Uppsala University,DORIS,2014
snd2028-1,Uppsala University,DORIS,2012
ext0040-1,Karolinska Institutet,DORIS (only metadata),2012
ext0017-1,Umeå University,DORIS (only metadata),2012
ext0037-1,Karolinska Institutet,DORIS (only metadata),2012
snd2028-1,Uppsala University,DORIS,2014
snd2029-1,Uppsala University,DORIS,2012
snd2029-1,Uppsala University,DORIS,2014
snd2030-1,Uppsala University,DORIS,2012
snd2030-1,Uppsala University,DORIS,2014
snd2031-1,Uppsala University,DORIS,2012
snd2031-1,Uppsala University,DORIS,2014
snd2032-1,Uppsala University,DORIS,2012
snd2032-1,Uppsala University,DORIS,2014
snd2033-1,Uppsala University,DORIS,2012
snd2033-1,Uppsala University,DORIS,2014
snd2034-1,Uppsala University,DORIS,2012
snd2034-1,Uppsala University,DORIS,2014
snd2035-1,Uppsala University,DORIS,2012
snd2035-1,Uppsala University,DORIS,2014
snd2036-1,Uppsala University,DORIS,2012
