Publisher,SourceRepository,YearPublished
Stockholm University,DORIS,2018
Institute for Language and Folklore,DORIS (only metadata),2024
Luleå University of Technology,DORIS,2024
Swedish University of Agricultural Sciences,DORIS,2024
Umeå University,DORIS,2024
Swedish University of Agricultural Sciences,DORIS,2025
RISE Research Institutes of Sweden,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2022
Luleå University of Technology,DORIS,2022
Lund University,DORIS,2021
Swedish University of Agricultural Sciences,DORIS (only metadata),2022
Karolinska Institutet,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2022
Mid Sweden University,DORIS,2021
University of Skövde,DORIS,2022
Swedish Institute of Space Physics,DORIS,2020
Swedish University of Agricultural Sciences,DORIS,2023
Uppsala University,DORIS (only metadata),2022
Uppsala University,DORIS (only metadata),2022
University of Tromsø,DORIS (only metadata),2020
Uppsala University,DORIS (only metadata),2020
Uppsala University,DORIS (only metadata),2022
Uppsala University,DORIS (only metadata),2022
Uppsala University,DORIS (only metadata),2022
Uppsala University,DORIS (only metadata),2022
Umeå University,DORIS (only metadata),2021
Umeå University,DORIS (only metadata),2021
Karolinska Institutet,DORIS (only metadata),2015
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
National Food Agency,DORIS (only metadata),2016
Statistics Sweden,DORIS (only metadata),2011
National Food Agency,DORIS (only metadata),2016
National Food Agency,DORIS (only metadata),2016
Statistics Sweden,DORIS (only metadata),2011
University of Gothenburg,DORIS,2014
"Information not available, contact SND for more information",DORIS,2014
"Information not available, contact SND for more information",DORIS (only metadata),2014
Uppsala University,DORIS,2014
"Faculty of Engineering, Lund University",DORIS,2015
Uppsala University,DORIS (only metadata),2015
Stockholm University,DORIS,2014
Statistics Sweden,DORIS (only metadata),2011
Statistics Sweden,DORIS (only metadata),2011
Statistics Sweden,DORIS (only metadata),2011
Statistics Sweden,DORIS (only metadata),2011
University of Gothenburg,DORIS,2002
Uppsala University,DORIS (only metadata),2011
University of Gothenburg,DORIS (only metadata),2011
Umeå University,DORIS (only metadata),2012
Umeå University,DORIS (only metadata),2012
Umeå University,DORIS (only metadata),2012
Umeå University,DORIS (only metadata),2012
Umeå University,DORIS (only metadata),2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Arkeologikonsult,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Arkeologikonsult,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Umeå University,DORIS (only metadata),2012
Södertörns högskola,DORIS,2011
University of Gothenburg,DORIS (only metadata),2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Karolinska Institutet,DORIS (only metadata),2012
Karolinska Institutet,DORIS (only metadata),2012
Umeå University,DORIS (only metadata),2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Karolinska Institutet,DORIS (only metadata),2012
Karolinska Institutet,DORIS (only metadata),2012
Karolinska Institutet,DORIS (only metadata),2012
Karolinska Institutet,DORIS (only metadata),2012
Karolinska Institutet,DORIS (only metadata),2012
Karolinska Institutet,DORIS (only metadata),2012
Uppsala University,DORIS (only metadata),2012
University of Gothenburg,DORIS (only metadata),2013
University of Gothenburg,DORIS (only metadata),2013
University of Gothenburg,DORIS (only metadata),2013
University of Gothenburg,DORIS (only metadata),2013
Uppsala University,DORIS (only metadata),2012
Uppsala University,DORIS (only metadata),2011
Uppsala University,DORIS (only metadata),2011
Uppsala University,DORIS (only metadata),2011
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
