URL,SourceRepository,YearPublished,Publisher1
https://researchdata.se/en/catalogue/dataset/2020-104-1,DORIS,2020,SHARE ERIC
https://researchdata.se/en/catalogue/dataset/2020-129-2,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-109-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-105-1,DORIS,2020,SHARE ERIC
https://researchdata.se/en/catalogue/dataset/2020-128-4,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-110-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-128-2,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-129-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-130-1,DORIS,2020,Institute for Future Studies
https://researchdata.se/en/catalogue/dataset/2020-140-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-111-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-128-3,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-130-4,DORIS,2020,Institute for Future Studies
https://researchdata.se/en/catalogue/dataset/2020-130-2,DORIS,2020,Institute for Future Studies
https://researchdata.se/en/catalogue/dataset/2020-13-1,DORIS,2020,Huddinge municipality
https://researchdata.se/en/catalogue/dataset/2020-128-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-130-3,DORIS,2020,Institute for Future Studies
https://researchdata.se/en/catalogue/dataset/2020-140-2,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-131-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-140-3,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-145-1,DORIS,2020,Swedish Institute of Space Physics
https://researchdata.se/en/catalogue/dataset/2020-141-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-141-2,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-148-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-147-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-148-2,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-149-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-150-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-155-2,DORIS,2021,Mid Sweden University
https://researchdata.se/en/catalogue/dataset/2020-155-1,DORIS,2021,Mid Sweden University
https://researchdata.se/en/catalogue/dataset/2020-150-2,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-17-1,DORIS,2020,Uppsala University
https://researchdata.se/en/catalogue/dataset/2020-168-1,DORIS,2020,Stockholm University
https://researchdata.se/en/catalogue/dataset/2020-158-1,DORIS,2020,Lund University
https://researchdata.se/en/catalogue/dataset/2020-159-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-178-1,DORIS,2021,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2020-17-2,DORIS,2023,Uppsala University
https://researchdata.se/en/catalogue/dataset/2020-180-1,DORIS,2020,Kristianstad University
https://researchdata.se/en/catalogue/dataset/2020-190-1,DORIS,2021,Uppsala University
https://researchdata.se/en/catalogue/dataset/2020-182-1,DORIS,2021,Lund University
https://researchdata.se/en/catalogue/dataset/2020-191-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-185-1,DORIS,2023,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2020-199-1,DORIS,2021,Environment for Development Initiative
https://researchdata.se/en/catalogue/dataset/2020-201-1,DORIS,2020,RISE Research Institutes of Sweden
